Threads,Time_Seconds
1,0.204
2,0.132
3,0.0929999
4,0.14
5,0.0539999
6,0.043
7,0.0410001
8,0.0420001
9,0.0409999
10,0.04
11,0.04
12,0.033
13,0.0350001
14,0.049
15,0.0319998
16,0.036
17,0.0340002
18,0.0440001
19,0.03
20,0.027
21,0.036
22,0.0309999
23,0.0259998
24,0.027
25,0.033
26,0.0240002
27,0.03
28,0.0280001
29,0.026
30,0.03
31,0.0280001
32,0.026
33,0.0239999
34,0.026
35,0.0250001
36,0.0250001
37,0.023
38,0.0219998
39,0.0190001
40,0.0239999
41,0.0239999
42,0.0209999
43,0.026
44,0.0180001
45,0.0159998
46,0.0280001
47,0.0239999
48,0.0250001
49,0.0179999
50,0.027
51,0.026
52,0.0220001
53,0.023
54,0.0250001
55,0.0210001
56,0.0279999
57,0.0210001
58,0.0190001
59,0.023
60,0.0190001
61,0.0190001
62,0.026
63,0.0180001
64,0.023
65,0.0249999
66,0.0190001
67,0.0239999
68,0.0210001
69,0.0219998
70,0.0240002
71,0.0209999
72,0.026
73,0.0209999
74,0.0250001
75,0.0239999
76,0.02
77,0.0250001
78,0.02
79,0.0209999
80,0.017
81,0.0189998
82,0.02
83,0.0209999
84,0.0180001
85,0.0209999
86,0.0250001
87,0.0249999
88,0.0190001
89,0.023
90,0.0170002
91,0.017
92,0.0240002
93,0.02
94,0.023
95,0.0239999
96,0.0190001
97,0.0219998
98,0.0220001
99,0.0210001
100,0.02
101,0.0200002
102,0.0170002
103,0.023
104,0.023
105,0.02
106,0.0209999
107,0.023
108,0.0209999
109,0.026
110,0.02
111,0.0210001
112,0.026
113,0.02
114,0.0249999
115,0.0220001
116,0.017
117,0.0239999
118,0.0179999
119,0.023
120,0.0220001
121,0.0210001
122,0.0180001
123,0.0210001
124,0.02
125,0.0179999
126,0.02
127,0.0209999
128,0.0250001
129,0.0209999
130,0.0250001
131,0.0209999
132,0.017
133,0.0250001
134,0.0219998
135,0.0190001
136,0.0220001
137,0.0179999
138,0.0220001
139,0.0180001
140,0.0190001
141,0.0219998
142,0.02
143,0.0220001
144,0.0239999
145,0.0190001
146,0.0220001
147,0.026
148,0.0209999
149,0.023
150,0.02
151,0.023
152,0.023
153,0.0209999
154,0.02
155,0.0179999
156,0.02
157,0.0210001
158,0.026
159,0.02
160,0.023
161,0.0210001
162,0.0210001
163,0.023
164,0.0190001
165,0.0209999
166,0.0220001
167,0.0179999
168,0.023
169,0.0209999
170,0.02
171,0.0209999
172,0.0190001
173,0.0209999
174,0.0190001
175,0.02
176,0.0220001
177,0.0219998
178,0.0220001
179,0.0250001
180,0.0219998
181,0.023
182,0.0220001
183,0.0190001
184,0.026
185,0.02
186,0.0210001
187,0.0179999
188,0.0210001
189,0.0219998
190,0.0240002
191,0.02
192,0.0210001
193,0.0239999
194,0.02
195,0.026
196,0.02
197,0.0240002
198,0.0219998
199,0.0170002
200,0.0219998
201,0.0190001
202,0.0190001
203,0.023
204,0.0179999
