Threads,Raw_Time,Smoothed_Time
1,0.104,0.0460909
2,0.0639999,0.0445833
3,0.052,0.0436154
4,0.0420001,0.0425
5,0.0339999,0.0417333
6,0.0410001,0.0438125
7,0.0369999,0.043
8,0.033,0.0419444
9,0.0350001,0.0408421
10,0.033,0.04
11,0.0319998,0.0391428
12,0.0279999,0.0351905
13,0.0320001,0.0331905
14,0.0279999,0.0317143
15,0.0310001,0.0308571
16,0.075,0.0300952
17,0.03,0.0291905
18,0.0239999,0.0284285
19,0.0209999,0.0277619
20,0.0240002,0.0272857
21,0.0219998,0.0266666
22,0.0210001,0.0263333
23,0.0219998,0.0260476
24,0.0210001,0.0256667
25,0.0239999,0.0252857
26,0.0179999,0.0247619
27,0.0220001,0.0221905
28,0.0209999,0.0218095
29,0.0190001,0.0214286
30,0.0249999,0.0215714
31,0.02,0.0213333
32,0.0250001,0.0213333
33,0.0220001,0.0211428
34,0.0239999,0.021
35,0.02,0.021
36,0.02,0.0207619
37,0.0209999,0.0207619
38,0.0220001,0.0206667
39,0.016,0.0207619
40,0.0239999,0.0206667
41,0.0190001,0.0203333
42,0.0219998,0.0203809
43,0.017,0.0201428
44,0.0190001,0.0201428
45,0.0209999,0.02
46,0.0190001,0.02
47,0.0179999,0.0200952
48,0.02,0.0200476
49,0.023,0.02
50,0.017,0.0200476
51,0.0180001,0.0198571
52,0.0209999,0.0200476
53,0.02,0.0199524
54,0.0220001,0.0199524
55,0.0209999,0.0200476
56,0.02,0.02
57,0.0220001,0.0201429
58,0.02,0.0201905
59,0.0209999,0.0200952
60,0.0170002,0.0200952
61,0.02,0.0201429
62,0.023,0.0202857
63,0.02,0.0201429
64,0.017,0.0202857
65,0.0209999,0.0201429
66,0.02,0.0200476
67,0.0220001,0.0199048
68,0.0189998,0.0198095
69,0.0180001,0.0198095
70,0.023,0.0197619
71,0.0180001,0.0198571
72,0.0209999,0.0197619
73,0.0179999,0.0196667
74,0.023,0.0195714
75,0.0190001,0.0196667
76,0.0190001,0.0194286
77,0.017,0.0192857
78,0.02,0.0193333
79,0.02,0.0192381
80,0.02,0.0191905
81,0.0190001,0.0189524
82,0.0180001,0.019
